date	totalPosts	video	audio	text	photo	time
20140509	4	0	0	0	4	0
20140510	2	0	0	1	1	0
20140511	1	0	0	0	1	0
20140512	5	1	0	2	2	0
20140513	6	1	0	1	4	0
20140514	1	0	0	1	0	0
20140515	1	1	0	0	0	0
20140516	1	0	0	1	0	0
20140517	1	0	0	0	1	0
20140518	1	0	0	1	0	0
20140519	5	0	0	3	2	0
20140520	13	2	0	5	6	0
20140521	4	0	0	1	3	0
20140522	7	3	0	1	3	0
20140523	7	0	0	4	3	0
20140524	11	1	0	3	7	0
20140525	3	0	0	1	2	0
20140526	5	0	0	1	4	0
20140527	3	0	0	1	2	0
20140528	3	0	0	0	3	0
20140529	5	1	0	0	4	0
20140530	4	0	0	1	3	0
20140531	2	0	0	1	1	0
20140601	7	0	0	1	6	0
20140602	30	5	0	10	15	0
20140603	48	0	0	31	17	0
20140604	8	0	0	4	4	0
20140605	7	0	0	4	3	0
20140606	2	0	0	0	2	0
20140607	4	0	0	0	4	0
20140608	9	1	0	5	3	0
20140609	7	2	0	2	3	0
20140610	32	0	0	19	13	0
20140611	13	1	0	5	7	0
20140612	3	0	0	3	0	0
20140613	10	0	0	5	5	0
20140614	10	1	0	3	6	0
20140615	5	0	0	3	2	0
20140616	8	3	0	2	3	0
20140617	27	0	0	18	9	0
20140618	9	0	0	8	1	0
20140619	10	1	0	4	5	0
20140620	12	0	0	3	9	0
20140621	14	0	0	0	14	0
20140622	5	0	0	3	2	0
20140623	1	0	0	0	1	0